content,content_stemmed_no_common_2,content_regex,content_regex_norm,tokens_nltk,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
mantap,mantap,mantap,mantap,['mantap'],5,0,4.3.1,2019-07-16 06:41:54,"Pelanggan Yth Bapak Mairizal Salehudin Siatan, Terima kasih atas saran, masukan dan support yang telah diberikan. Semoga Bapak/Ibu puas terbang bersama kami. Hormat Kami, Garuda Indonesia.",2019-07-24 07:43:50
sip,sip,sip,sip,['sip'],5,0,4.3.1,2019-07-16 05:16:10,"Pelanggan Yth, Terima kasih atas saran, masukan dan support yang telah diberikan. Semoga Bapak/Ibu puas terbang bersama kami. Hormat Kami, Garuda Indonesia.",2019-07-24 07:09:39
sangat membantu,bantu,bantu,bantu,['bantu'],5,0,4.3.1,2019-07-16 05:10:13,"Pelanggan Yth Bapak Muhammad Nanda Ridhoi, Terima kasih atas saran, masukan dan support yang telah diberikan. Semoga Bapak/Ibu puas terbang bersama kami. Hormat Kami, Garuda Indonesia.",2019-07-24 07:09:26
bagus. sangat membantu.,bagus bantu,bagus bantu,bagus bantu,"['bagus', 'bantu']",5,0,4.3.1,2019-07-15 11:29:25,"Pelanggan Yth Bapak Yanuar Limaran, Terima kasih atas saran, masukan dan support yang telah diberikan. Semoga Bapak/Ibu puas terbang bersama kami. Hormat Kami, Garuda Indonesia.",2019-07-24 07:07:03
sangat friendly dan sangat mudah dalam pengoperasiannya. saya belum menemukan kendala selama ini.,friendly mudah operasi temu kendala,friendly mudah operasi temu kendala,friendly mudah operasi temu kendala,"['friendly', 'mudah', 'operasi', 'temu', 'kendala']",5,0,4.3.1,2019-07-15 03:19:57,"Pelanggan Yth Bapak Wibi Pratikto, Terima kasih atas saran, masukan dan support yang telah diberikan. Semoga Bapak/Ibu puas terbang bersama kami. Hormat Kami, Garuda Indonesia.",2019-07-24 07:06:33
amazing,amazing,amazing,amazing,['amazing'],5,0,,2019-07-15 02:22:36,"Dear valued customer Mr. Dody Alfayet, Thanks for the advice, input and support that has been given, and thank you for flying with Garuda Indonesia. Sincerely, Garuda Indonesia.",2019-07-24 07:06:16
"saya ga bisa intall aplikasi, satu dulu ya.",intall,intall,intal,['intal'],1,0,,2019-07-14 13:45:21,,
sangat baik,,,,[],5,0,4.3.1,2019-07-13 13:27:29,"Pelanggan Yth Bapak Syachrudin, Terima kasih atas saran, masukan dan support yang telah diberikan. Semoga Bapak/Ibu puas terbang bersama kami. Hormat Kami, Garuda Indonesia.",2019-07-24 07:03:49
sangat memudahkan kita untuk check in serta banyak sekali informasi penerbangan,mudah check informasi terbang,mudah check informasi terbang,mudah check informasi terbang,"['mudah', 'check', 'informasi', 'terbang']",5,0,4.3.1,2019-07-13 12:15:32,,
ok,ok,ok,ok,['ok'],5,0,,2019-07-12 09:52:21,,
👍😊,,,,[],5,0,4.3.0,2019-07-12 06:37:54,,
mantap,mantap,mantap,mantap,['mantap'],5,0,,2019-07-12 06:00:11,,
top,top,top,top,['top'],5,0,4.3.1,2019-07-12 04:43:19,,
oke,oke,oke,oke,['oke'],5,0,4.3.1,2019-07-11 23:46:05,,
bagus,bagus,bagus,bagus,['bagus'],5,0,,2019-07-11 13:53:51,,
it's good enough. but sometimes the server busy error was so annoying.,its good enough but sometimes the server busy error was sok annoying,its good enough but sometimes the server busy error was sok annoying,its good enough but sometimes the server busy error was sok annoying,"['its', 'good', 'enough', 'but', 'sometimes', 'the', 'server', 'busy', 'error', 'was', 'sok', 'annoying']",4,0,4.3.1,2019-07-11 11:54:59,,
good aplication,good aplication,good aplication,good aplication,"['good', 'aplication']",5,0,,2019-07-11 11:03:50,,
apa apaan gak bs register 🤐 gak bisa log in. pasang lagsng unistal aja. bikin mumet,register log in pasang lagsng unistal aja bikin mumet,register log in pasang lagsng unistal aja bikin mumet,register log in pasang lagsng unistal aja bikin mumet,"['register', 'log', 'in', 'pasang', 'lagsng', 'unistal', 'aja', 'bikin', 'mumet']",1,1,4.3.1,2019-07-11 08:20:21,,
ok,ok,ok,ok,['ok'],5,0,4.3.1,2019-07-10 23:24:43,,
mudah diakses,mudah akses,mudah akses,mudah akses,"['mudah', 'akses']",5,0,4.3.1,2019-07-10 15:22:52,,
ok,ok,ok,ok,['ok'],5,0,4.3.1,2019-07-10 11:41:24,,
mudah digunakan,mudah,mudah,mudah,['mudah'],5,0,4.3.1,2019-07-10 10:17:10,,
mantap,mantap,mantap,mantap,['mantap'],4,0,4.3.1,2019-07-10 09:32:24,,
"aplikasi yang sangat membantu, mempermudah perjalanan. luar biasa",bantu mudah jalan,bantu mudah jalan,bantu mudah jalan,"['bantu', 'mudah', 'jalan']",5,0,4.3.1,2019-07-10 07:54:42,,
aplikasi ini sangat membantu dlm proses check in,bantu proses check,bantu proses check,bantu proses check,"['bantu', 'proses', 'check']",4,2,4.3.1,2019-07-10 06:25:23,,
bad web. unuseable.,bad web unuseable,bad web unuseable,bad web unuseable,"['bad', 'web', 'unuseable']",2,0,4.3.1,2019-07-10 05:46:02,,
mantap,mantap,mantap,mantap,['mantap'],5,0,4.3.1,2019-07-10 03:37:38,,
mohon diperbaiki sistemnya karena maunlogin saja eror trus,mohon baik sistem maunlogin eror,mohon baik sistem maunlogin eror,mohon baik sistem maunlogin eror,"['mohon', 'baik', 'sistem', 'maunlogin', 'eror']",5,1,4.3.1,2019-07-10 02:14:12,,
sangat membantu,bantu,bantu,bantu,['bantu'],5,0,4.3.1,2019-07-10 01:56:05,,
nice & easy to check in.,nice easy check in,nice easy check in,nice easy check in,"['nice', 'easy', 'check', 'in']",5,0,4.3.1,2019-07-09 23:06:45,,
oke 👍,oke,oke,oke,['oke'],5,0,4.3.1,2019-07-09 15:24:39,,
memudahkan sekali,mudah,mudah,mudah,['mudah'],5,0,4.3.1,2019-07-09 14:10:54,,
sangat bagus dan terinspirasi,bagus inspirasi,bagus inspirasi,bagus inspirasi,"['bagus', 'inspirasi']",5,0,4.3.1,2019-07-09 13:36:35,,
"app ini suka error,tolong diperbaiki.",suka errortolong baik,suka errortolong baik,suka errortolong baik,"['suka', 'errortolong', 'baik']",3,0,4.3.1,2019-07-09 11:28:23,,
aplikasinya sering error 🙁,error,error,error,['error'],2,0,4.3.1,2019-07-09 11:11:42,,
jangan pecah kendi... syirik,pecah kendi syirik,pecah kendi syirik,pecah kendi syirik,"['pecah', 'kendi', 'syirik']",5,0,4.3.1,2019-07-09 04:13:22,,
server nya sering error. tolomg diperbaiki,server error tolomg baik,server error tolomg baik,server error tolomg baik,"['server', 'error', 'tolomg', 'baik']",2,0,,2019-07-09 04:09:28,,
percobaan,coba,coba,coba,['coba'],2,0,,2019-07-08 20:45:34,,
"aplikasi sering error, saya mau mencoba masuk ga bisa..trus sebelumnya koneksi tidak stabil..aplikasinya tidak menyenangkan..",error coba masuk bisatrus koneksi stabilaplikasinya senang,error coba masuk bisatrus koneksi stabilaplikasinya senang,error coba masuk bisatrus koneksi stabilaplikasinya senang,"['error', 'coba', 'masuk', 'bisatrus', 'koneksi', 'stabilaplikasinya', 'senang']",1,3,4.3.1,2019-07-08 05:21:22,,
mantaaap...,mantaaap,mantaap,mantap,['mantap'],5,0,4.3.1,2019-07-06 17:45:36,,
"bagus simple dan membantu,",bagus simple bantu,bagus simple bantu,bagus simple bantu,"['bagus', 'simple', 'bantu']",5,0,4.3.1,2019-07-06 14:10:58,,
bagus,bagus,bagus,bagus,['bagus'],5,0,4.3.1,2019-07-06 09:15:33,,
mempermudah banget! 👍,mudah banget,mudah banget,mudah banget,"['mudah', 'banget']",5,0,4.3.1,2019-07-06 06:19:32,,
knapa tidak bisa di pakai untuk check in online? what wrong??,knapa pakai check online what wrong,knapa pakai check online what wrong,knapa pakai check online what wrong,"['knapa', 'pakai', 'check', 'online', 'what', 'wrong']",2,1,4.3.1,2019-07-06 04:51:43,,
bagus,bagus,bagus,bagus,['bagus'],5,0,4.3.1,2019-07-06 03:41:09,,
mantap,mantap,mantap,mantap,['mantap'],5,0,4.3.1,2019-07-06 02:27:51,,
sangat membantu... trus tingkatkan pelayanan terbaik,bantu tingkat layan baik,bantu tingkat layan baik,bantu tingkat layan baik,"['bantu', 'tingkat', 'layan', 'baik']",5,1,4.3.1,2019-07-06 00:56:08,,
good,good,good,good,['good'],5,0,4.3.1,2019-07-05 13:03:51,,
"banyak bug saat registrasi akun batu, bintang 1 dulu, moga diperbaiki",bug registrasi akun batu bintang 1 moga baik,bug registrasi akun batu bintang moga baik,bug registrasi akun batu bintang moga baik,"['bug', 'registrasi', 'akun', 'batu', 'bintang', 'moga', 'baik']",1,0,,2019-07-05 04:30:48,,
seling lemotttt,seling lemotttt,seling lemott,seling lemot,"['seling', 'lemot']",2,1,4.3.1,2019-07-04 05:10:25,,
bagus,bagus,bagus,bagus,['bagus'],5,0,4.3.1,2019-07-04 00:24:10,,
terlalu panjang proses pemesan,proses mes,proses mes,proses mes,"['proses', 'mes']",3,0,4.3.1,2019-07-03 23:12:28,,
excellent service,excellent service,excellent service,excellent service,"['excellent', 'service']",5,0,4.3.1,2019-07-03 14:07:17,,
ok,ok,ok,ok,['ok'],5,0,,2019-07-03 07:29:42,,
ok,ok,ok,ok,['ok'],5,0,4.3.1,2019-07-02 17:37:28,,
good,good,good,good,['good'],5,0,4.3.1,2019-07-02 14:35:54,,
"reward dari garuda untuk pelanggan setianya, enjoy flight",reward langgan setia enjoy flight,reward langgan setia enjoy flight,reward langgan setia enjoy flight,"['reward', 'langgan', 'setia', 'enjoy', 'flight']",5,0,4.3.1,2019-07-02 05:22:52,,
"aplikasi nya tolong segera diperbaiki, sangat sulit untuk tukar miles nya, jika mau tukar miles selalu error, dan harus log out dan log in, saat log in lagi dengan password benar akun terkunci, dan minta reset password lagi, tolong dicontoh aja seperti singaporeairlines yg krisflyer nya gampang ditukar miles nya, negara lebih besar masa kalah pengelolaan nya dengan negara tetangga, kalau ga bisa seperti mereka setidak nya tinggal dicontek aja cara nya",tolong baik sulit tukar miles tukar miles error log out log in log password akun kunci reset password tolong contoh singaporeairlines krisflyer gampang tukar miles negara kalah kelola negara tetangga tidak tinggal contek,tolong baik sulit tukar miles tukar miles error log out log in log password akun kunci reset password tolong contoh singaporeairlines krisflyer gampang tukar miles negara kalah kelola negara tetangga tidak tinggal contek,tolong baik sulit tukar miles tukar miles error log out log in log password akun kunci reset password tolong contoh singaporeairlines krisflyer gampang tukar miles negara kalah kelola negara tetangga tidak tinggal contek,"['tolong', 'baik', 'sulit', 'tukar', 'miles', 'tukar', 'miles', 'error', 'log', 'out', 'log', 'in', 'log', 'password', 'akun', 'kunci', 'reset', 'password', 'tolong', 'contoh', 'singaporeairlines', 'krisflyer', 'gampang', 'tukar', 'miles', 'negara', 'kalah', 'kelola', 'negara', 'tetangga', 'tidak', 'tinggal', 'contek']",2,43,4.3.1,2019-07-02 05:08:50,,
bagus,bagus,bagus,bagus,['bagus'],5,0,,2019-07-02 02:13:55,,
banyak bug,bug,bug,bug,['bug'],1,0,,2019-07-02 01:45:23,,
good,good,good,good,['good'],5,0,4.3.1,2019-07-02 01:42:28,,
satu satunya maskapai indonesia terpercaya,satu maskapai indonesia percaya,satu maskapai indonesia percaya,satu maskapai indonesia percaya,"['satu', 'maskapai', 'indonesia', 'percaya']",5,1,4.3.1,2019-07-01 23:03:33,"Dear Mr. Wendhy Syafri. Thank you for giving us five stars. Sincerely, Garuda Indonesia.",2019-07-01 21:33:40
good,good,good,good,['good'],5,0,4.3.1,2019-07-01 12:46:57,"Dear Mr. Hendi Ali Thanks for giving us five stars, we hope this application is very useful. Sincerely, Garuda Indonesia.",2019-07-01 17:33:02
mantap & sangat membantu prjalanan,mantap bantu prjalanan,mantap bantu prjalanan,mantap bantu prjalanan,"['mantap', 'bantu', 'prjalanan']",5,0,4.3.1,2019-07-01 11:58:02,"Pelanggan Yth. Bapak. Andika Untarja. Terima kasih telah memberikan bintang lima, semoga aplikasinya bermanfaat. Hormat kami, Garuda Indonesia.",2019-07-01 18:06:32
"bagus, bagus, bagus, bagus, bagus, bagus, dan bagus",bagus bagus bagus bagus bagus bagus bagus,bagus bagus bagus bagus bagus bagus bagus,bagus bagus bagus bagus bagus bagus bagus,"['bagus', 'bagus', 'bagus', 'bagus', 'bagus', 'bagus', 'bagus']",5,0,4.3.1,2019-07-01 01:20:51,"Pelanggan Yth. Bapak. Mu'az Mahmud Sanusi. Terima kasih telah mengunduh dan memberikan bintang lima. Hormat kami, Garuda Indonesia.",2019-07-01 21:24:33
.5 ycmn,5 ycmn,ycmn,ycmn,['ycmn'],3,0,,2019-06-30 22:24:18,"Pelanggan Kami Yang Terhormat. Terima kasih telah mengunduh, kami harap aplikasi ini bermanfaat. Hormat kami, Garuda Indonesia.",2019-07-01 21:31:27
akan lebih baik jika ditingkatkan kembali,tingkat,tingkat,tingkat,['tingkat'],4,0,4.3.1,2019-06-30 21:47:44,"Pelanggan Yth. Bapak. Abdul Rasit. Terima kasih atas saran, masukan, dan dukungan yang telah diberikan. Hormat kami, Garuda Indonesia.",2019-07-01 21:32:28
keren.... bagasi no problem...,keren bagasi no problem,keren bagasi no problem,keren bagasi no problem,"['keren', 'bagasi', 'no', 'problem']",5,0,4.3.1,2019-06-30 14:31:03,"Pelanggan Yth. Bapak. Agil. Terima kasih telah mengunduh, kami harap aplikasi ini bermanfaat. Hormat kami, Garuda Indonesia.",2019-07-01 21:35:02
garuda terbaik,baik,baik,baik,['baik'],5,0,,2019-06-30 14:17:27,"Pelanggan Yth. Bapak. Syamsul Alam. Terima kasih, kami sangat senang mendengarnya. Hormat kami, Garuda Indonesia.",2019-07-01 21:37:02
garuda jaya,jaya,jaya,jaya,['jaya'],5,0,,2019-06-30 06:05:50,"Pelanggan Kami Yang Terhormat. Terima kasih telah mengunduh, kami harap aplikasi ini bermanfaat. Hormat kami, Garuda Indonesia.",2019-07-01 21:43:22
"memudahkan reservasi penerbangan. diperlukan penambahan dan pembaharuan, antara lain : * notifikasi sudah dapat check in * notifikasi miles yang akan expired * notifikasi bila ada perubahan jam penerbangan * promo secara reguler * stabilitas sistem aplikasi",mudah reservasi terbang tambah baharu notifikasi check notifikasi miles expired notifikasi ubah jam terbang promo reguler stabilitas sistem,mudah reservasi terbang tambah baharu notifikasi check notifikasi miles expired notifikasi ubah jam terbang promo reguler stabilitas sistem,mudah reservasi terbang tambah baharu notifikasi check notifikasi miles expired notifikasi ubah jam terbang promo reguler stabilitas sistem,"['mudah', 'reservasi', 'terbang', 'tambah', 'baharu', 'notifikasi', 'check', 'notifikasi', 'miles', 'expired', 'notifikasi', 'ubah', 'jam', 'terbang', 'promo', 'reguler', 'stabilitas', 'sistem']",5,4,4.3.1,2019-06-30 03:10:40,"Pelanggan Yth. Bapak. Edy Irwansyah. Terima kasih, kami sangat senang mendengarnya. Hormat kami, Garuda Indonesia.",2019-07-01 21:45:06
easy to use,easy use,easy use,easy use,"['easy', 'use']",5,0,4.3.1,2019-06-29 15:06:45,"Dear Mr. Sigid Prabowo. Thank you for giving us five stars. Sincerely, Garuda Indonesia.",2019-07-01 21:51:27
claim missing milesnya error. tlg segera diperbaiki,claim missing milesnya error tolong baik,claim missing milesnya error tolong baik,claim missing milesnya error tolong baik,"['claim', 'missing', 'milesnya', 'error', 'tolong', 'baik']",3,0,4.3.1,2019-06-29 03:54:52,"Pelanggan Yth. Bapak. Agung Andri. Terima kasih telah berbagi tanggapan Anda. Kami akan memaksimalkan fungsi dari aplikasi guna kenyamanan pelanggan. Hormat kami, Garuda Indonesia.",2019-07-01 22:05:56
sangt membatu terimakasih,batu terimakasih,batu terimakasih,batu terimakasih,"['batu', 'terimakasih']",5,0,1.0.2,2019-06-28 07:18:38,,
ok,ok,ok,ok,['ok'],5,0,4.3.1,2019-06-27 13:59:40,,
memuaskan untuk check in,muas check,muas check,muas check,"['muas', 'check']",5,0,4.3.1,2019-06-27 10:59:15,,
good,good,good,good,['good'],5,0,4.3.0,2019-06-27 08:36:39,,
😄,,,,[],5,0,,2019-06-27 07:06:26,,
ok mantap,ok mantap,ok mantap,ok mantap,"['ok', 'mantap']",5,0,4.3.1,2019-06-27 06:12:52,,
sudah membaik,baik,baik,baik,['baik'],5,0,4.3.1,2019-06-27 02:31:01,,
good,good,good,good,['good'],5,0,4.3.1,2019-06-27 01:29:03,,
"aplikasinya agak lama, kadang suka gagal login baik di aplikasi maupun webnya",kadang suka gagal login webnya,kadang suka gagal login webnya,kadang suka gagal login webnya,"['kadang', 'suka', 'gagal', 'login', 'webnya']",3,0,,2019-06-26 12:00:07,,
terima kasih garuda group informasi sangat berguna bagi pengguna jasa penerbangan domestik,terima kasih group informasi guna guna jasa terbang domestik,terima kasih group informasi guna guna jasa terbang domestik,terima kasih group informasi guna guna jasa terbang domestik,"['terima', 'kasih', 'group', 'informasi', 'guna', 'guna', 'jasa', 'terbang', 'domestik']",5,0,4.3.1,2019-06-26 09:16:53,,
very good,very good,very good,very good,"['very', 'good']",5,0,4.3.1,2019-06-26 08:05:06,,
mantul,mantul,mantul,mantul,['mantul'],5,0,,2019-06-26 05:38:00,,
sangat membantu,bantu,bantu,bantu,['bantu'],3,0,4.3.0,2019-06-25 17:52:18,,
bersih dan nyaman,bersih nyaman,bersih nyaman,bersih nyaman,"['bersih', 'nyaman']",5,0,4.3.1,2019-06-25 15:06:59,,
ok,ok,ok,ok,['ok'],5,0,4.3.1,2019-06-25 07:32:46,,
mantab,mantab,mantab,mantab,['mantab'],5,0,4.3.1,2019-06-25 06:08:18,,
good,good,good,good,['good'],4,0,4.3.1,2019-06-24 22:17:12,,
goood,goood,good,good,['good'],5,0,4.3.1,2019-06-24 15:30:13,,
mantappp,mantap,mantap,mantap,['mantap'],5,0,4.3.1,2019-06-24 12:27:33,,
keren,keren,keren,keren,['keren'],5,0,,2019-06-24 08:26:57,,
mantap gan,mantap gan,mantap gan,mantap gan,"['mantap', 'gan']",5,0,4.3.1,2019-06-24 04:51:31,,
mantab,mantab,mantab,mantab,['mantab'],5,0,4.3.1,2019-06-23 13:00:48,,
mau klaim missing miles error mulu..,klaim missing miles error mulu,klaim missing miles error mulu,klaim missing miles error mulu,"['klaim', 'missing', 'miles', 'error', 'mulu']",1,0,4.3.1,2019-06-23 04:28:20,,
bagus,bagus,bagus,bagus,['bagus'],5,0,,2019-06-23 02:49:48,,
"brooo developer,,, tolong dong ini bug d beresi, pop-up error setiap buka tab selalu muncul,,,",brooo developer tolong bug beres popup error buka tab muncul,broo developer tolong bug beres popup error buka tab muncul,broo developer tolong bug beres popup error buka tab muncul,"['broo', 'developer', 'tolong', 'bug', 'beres', 'popup', 'error', 'buka', 'tab', 'muncul']",3,1,4.3.1,2019-06-23 01:01:25,,
riwayat pembelian tidak otomatis terecord dalam aplikasi,riwayat beli otomatis terecord,riwayat beli otomatis terecord,riwayat beli otomatis terecord,"['riwayat', 'beli', 'otomatis', 'terecord']",3,0,4.3.1,2019-06-22 09:25:07,,
ok check mileage...,ok check mileage,ok check mileage,ok check mileage,"['ok', 'check', 'mileage']",5,0,4.3.1,2019-06-22 09:08:59,,
terus tingkatkan,tingkat,tingkat,tingkat,['tingkat'],5,0,,2019-06-22 04:38:01,,
pelayanan yg baik,layan,layan,layan,['layan'],5,0,4.3.1,2019-06-22 03:08:16,,
untuk ditingkatkan,tingkat,tingkat,tingkat,['tingkat'],3,0,4.3.0,2019-06-22 02:43:05,,
sempurna,sempurna,sempurna,sempurna,['sempurna'],5,0,4.3.1,2019-06-21 22:18:55,,
inovatif,inovatif,inovatif,inovatif,['inovatif'],5,0,4.3.1,2019-06-21 16:10:27,,
ok,ok,ok,ok,['ok'],5,0,4.3.1,2019-06-21 13:28:50,,
"garuda is the best for me. i travel everywhere with it, cause their services are very excellent",is the best for me i travel everywhere with it cause their services are very excellent,is the best for me i travel everywhere with it cause their services are very excellent,is the best for me i travel everywhere with it cause their services are very excellent,"['is', 'the', 'best', 'for', 'me', 'i', 'travel', 'everywhere', 'with', 'it', 'cause', 'their', 'services', 'are', 'very', 'excellent']",5,0,4.3.1,2019-06-21 09:21:43,,
interfacenya bagus,interfacenya bagus,interfacenya bagus,interfacenya bagus,"['interfacenya', 'bagus']",5,0,4.3.1,2019-06-21 06:09:59,,
aplikasi yang luar biasa,,,,[],5,0,4.3.1,2019-06-21 03:13:35,,
good,good,good,good,['good'],5,0,4.3.1,2019-06-20 15:20:49,,
mantaap,mantap,mantap,mantap,['mantap'],5,0,4.3.1,2019-06-20 14:51:38,,
ribet banget login nya,ribet banget login,ribet banget login,ribet banget login,"['ribet', 'banget', 'login']",4,0,4.3.1,2019-06-20 12:42:56,,
bermanfaat dan kereen,manfaat keren,manfaat keren,manfat keren,"['manfat', 'keren']",5,0,4.3.1,2019-06-20 07:06:35,,
👍,,,,[],5,0,4.3.1,2019-06-20 05:19:34,,
"sangat membantu, terutama saat mobile cek in. masukan nya kalau buat password nya jng susah2 syaratnya harus ini itu.",bantu mobile cek in masuk password susah2 syarat,bantu mobile cek in masuk password susah syarat,bantu mobile cek in masuk password susah syarat,"['bantu', 'mobile', 'cek', 'in', 'masuk', 'password', 'susah', 'syarat']",5,0,4.3.1,2019-06-20 03:44:47,,
sip,sip,sip,sip,['sip'],5,0,4.3.1,2019-06-20 02:31:32,,
so helpful... good job 👍,sok helpful good job,sok helpful good job,sok helpful good job,"['sok', 'helpful', 'good', 'job']",5,0,4.3.1,2019-06-19 22:58:01,,
indonesian top airlane,indonesian top airlane,indonesian top airlane,indonesian top airlane,"['indonesian', 'top', 'airlane']",5,0,4.3.1,2019-06-19 22:31:07,,
very helping,very helping,very helping,very helping,"['very', 'helping']",5,0,,2019-06-19 15:13:21,,
ok....,ok,ok,ok,['ok'],5,0,4.3.1,2019-06-19 11:49:39,,
sering trouble dan makan batre,trouble makan batre,trouble makan batre,trouble makan batre,"['trouble', 'makan', 'batre']",3,0,4.3.1,2019-06-19 01:02:45,,
good app to support flight convinience with garuda,good support flight convinience with,good support flight convinience with,good support flight convinience with,"['good', 'support', 'flight', 'convinience', 'with']",5,0,4.3.1,2019-06-19 00:55:33,,
aplikasi sangat membantu sekalinsaya mendapatkan informasi jadwal penerbangan serta mobil check in,bantu sekalinsaya informasi jadwal terbang mobil check,bantu sekalinsaya informasi jadwal terbang mobil check,bantu sekalinsaya informasi jadwal terbang mobil check,"['bantu', 'sekalinsaya', 'informasi', 'jadwal', 'terbang', 'mobil', 'check']",5,0,,2019-06-18 14:24:25,,
aplikasi ini sangat membantu sekali,bantu,bantu,bantu,['bantu'],5,1,4.3.1,2019-06-18 03:32:57,,
uye,uye,uye,uye,['uye'],5,0,4.3.1,2019-06-18 00:35:23,,
"masih banyak yang perlu di perbaiki, claim missing miles masih sering error dan bugs lainnya. dan apps menjadi sedikit berat jika sedang error. dengan bergabungnya sj group tambahkan pula sj group kedalam claim miles.",baik claim missing miles error bugs apps berat error gabung group tambah group dalam claim miles,baik claim missing miles error bugs apps berat error gabung group tambah group dalam claim miles,baik claim missing miles error bugs apps berat error gabung group tambah group dalam claim miles,"['baik', 'claim', 'missing', 'miles', 'error', 'bugs', 'apps', 'berat', 'error', 'gabung', 'group', 'tambah', 'group', 'dalam', 'claim', 'miles']",4,1,,2019-06-17 20:04:35,,
sangat baik,,,,[],5,0,4.3.1,2019-06-17 11:01:58,,
good application,good application,good application,good application,"['good', 'application']",5,0,4.3.1,2019-06-17 02:40:37,,
mantap mempermudah,mantap mudah,mantap mudah,mantap mudah,"['mantap', 'mudah']",5,0,4.3.1,2019-06-17 00:26:39,,
nice application,nice application,nice application,nice application,"['nice', 'application']",5,0,4.3.1,2019-06-16 22:30:55,,
nice,nice,nice,nice,['nice'],5,0,4.3.1,2019-06-16 10:18:07,,
good,good,good,good,['good'],5,0,4.3.1,2019-06-16 09:01:11,,
selalu ontime....,ontime,ontime,ontime,['ontime'],5,0,4.3.1,2019-06-16 07:46:18,,
make it easier to check in. nice application,pakai easier check in nice application,pakai easier check in nice application,pakai easier check in nice application,"['pakai', 'easier', 'check', 'in', 'nice', 'application']",5,0,4.3.1,2019-06-16 05:50:31,,
nice,nice,nice,nice,['nice'],5,0,4.3.1,2019-06-15 15:12:09,,
sangat mudah dalam penggunaan,mudah guna,mudah guna,mudah guna,"['mudah', 'guna']",5,0,4.3.1,2019-06-15 12:31:00,,
ga ada guna.....erorr terussssss.........,gunaerorr terussssss,gunaerorr teruss,gunaeror terus,"['gunaeror', 'terus']",1,0,,2019-06-15 11:23:10,,
mantaps,mantaps,mantaps,mantaps,['mantaps'],5,0,,2019-06-15 10:16:53,,
"kok, saya cari bandara apt pranoto belum ada ya ? padahal kalau pesawatnya ada",cari bandara apt pranoto pesawat,cari bandara apt pranoto pesawat,cari bandara apt pranoto pesawat,"['cari', 'bandara', 'apt', 'pranoto', 'pesawat']",3,1,4.3.1,2019-06-15 03:39:22,,
sangan membantu,sangan bantu,sangan bantu,sangan bantu,"['sangan', 'bantu']",5,0,,2019-06-15 02:14:04,,
aplikasi tidak bisa di update dan error,update error,update error,update error,"['update', 'error']",1,0,4.3.0,2019-06-14 14:33:30,,
mantap membantu seyekaleee,mantap bantu seyekaleee,mantap bantu seyekalee,mantap bantu seyekalee,"['mantap', 'bantu', 'seyekalee']",5,0,4.3.1,2019-06-14 09:50:12,,
ok,ok,ok,ok,['ok'],5,0,4.3.1,2019-06-14 02:42:49,,
masih ada yg error..,error,error,error,['error'],4,0,4.3.1,2019-06-14 02:35:52,,
mantaaapppp,mantaaapppp,mantaapp,mantap,['mantap'],5,0,4.3.1,2019-06-14 00:42:22,,
good aplikasi,good,good,good,['good'],5,0,4.3.1,2019-06-14 00:10:44,,
mantaap..,mantaap,mantaap,mantap,['mantap'],5,0,4.3.1,2019-06-13 21:36:03,,
sering suka error ....sinyal bagus,suka error sinyal bagus,suka error sinyal bagus,suka error sinyal bagus,"['suka', 'error', 'sinyal', 'bagus']",5,0,4.3.1,2019-06-13 12:47:34,,
overall bagus tp kenapa status miles g bsa terupdate dan penawaran harga promo g muncul,overall bagus status miles terupdate tawar harga promo muncul,overall bagus status miles terupdate tawar harga promo muncul,overal bagus status miles terupdate tawar harga promo muncul,"['overal', 'bagus', 'status', 'miles', 'terupdate', 'tawar', 'harga', 'promo', 'muncul']",4,0,4.3.1,2019-06-13 12:31:15,,
memudahkan aku untuk ce in,mudah ce,mudah ce,mudah ce,"['mudah', 'ce']",5,0,4.3.1,2019-06-13 12:25:05,,
keren,keren,keren,keren,['keren'],5,0,4.3.1,2019-06-13 11:03:41,,
very good,very good,very good,very good,"['very', 'good']",4,0,4.3.1,2019-06-13 09:32:43,,
"masih belom bisa booking pake garuda miles lewat aplikasi, harus lewat website.",booking pakai miles website,booking pakai miles website,booking pakai miles website,"['booking', 'pakai', 'miles', 'website']",2,3,4.3.1,2019-06-13 04:09:32,,
